cement,ggbs,flyash,silica_fume,limestone_powder,quartz_powder,nano_silica,water,superplasticizer,coarse_agg,fine_agg,temperature,age,cs,is_uhpc,binder,water_binder_ratio
182,45.2,122,0,0,0,0,170.2,8.2,1059.4,780.7,0,3,7.32,0,349.2,0.48739977
182,45.2,122,0,0,0,0,170.2,8.2,1059.4,780.7,0,14,21.5,0,349.2,0.48739977
182,45.2,122,0,0,0,0,170.2,8.2,1059.4,780.7,0,28,31.27,0,349.2,0.48739977
182,45.2,122,0,0,0,0,170.2,8.2,1059.4,780.7,0,56,43.5,0,349.2,0.48739977
182,45.2,122,0,0,0,0,170.2,8.2,1059.4,780.7,0,100,48.67,0,349.2,0.48739977
168.9,42.2,124.3,0,0,0,0,158.3,10.8,1080.8,796.2,0,3,7.4,0,335.4,0.471973761
168.9,42.2,124.3,0,0,0,0,158.3,10.8,1080.8,796.2,0,14,23.51,0,335.4,0.471973761
168.9,42.2,124.3,0,0,0,0,158.3,10.8,1080.8,796.2,0,28,31.12,0,335.4,0.471973761
168.9,42.2,124.3,0,0,0,0,158.3,10.8,1080.8,796.2,0,56,39.15,0,335.4,0.471973761
168.9,42.2,124.3,0,0,0,0,158.3,10.8,1080.8,796.2,0,100,48.15,0,335.4,0.471973761
290.4,0,96.2,0,0,0,0,168.1,9.4,961.2,865,0,3,22.5,0,386.6,0.434816347
290.4,0,96.2,0,0,0,0,168.1,9.4,961.2,865,0,14,34.67,0,386.6,0.434816347
290.4,0,96.2,0,0,0,0,168.1,9.4,961.2,865,0,28,34.74,0,386.6,0.434816347
290.4,0,96.2,0,0,0,0,168.1,9.4,961.2,865,0,56,45.08,0,386.6,0.434816347
290.4,0,96.2,0,0,0,0,168.1,9.4,961.2,865,0,100,48.97,0,386.6,0.434816347
277.1,0,97.4,0,0,0,0,160.6,11.8,973.9,875.6,0,3,23.14,0,374.5,0.42883845
277.1,0,97.4,0,0,0,0,160.6,11.8,973.9,875.6,0,14,41.89,0,374.5,0.42883845
277.1,0,97.4,0,0,0,0,160.6,11.8,973.9,875.6,0,28,48.28,0,374.5,0.42883845
